ReviewID,Keyword,Frequency
73,play store,2
73,small,2
73,samsung chromebook,1
73,backlight,2
73,bigger screen,1
73,experience,3
73,windows,10
73,quality,2
73,tablet mode,3
73,reboot,1
73,windows machine,1
73,asus flip,2
73,handy,1
73,android app,2
73,tablets,1
73,replacement,1
73,browsing,1
73,night,1
73,screen rotation,1
73,hundred dollars,1
73,samsung pro,2
73,excellent,2
73,email,1
73,websites,1
73,beta channel,1
73,charging,2
73,charge,2
73,low light,1
73,portrait mode,1
73,backlit keyboard,1
73,chrome,10
73,smooth,1
73,replace,2
73,android apps,1
73,operate,1
73,super quick,1
73,struggling,1
73,plugged,1
73,finding,1
73,chromebooks,4
73,viewing,1
73,issues,3
73,price,1
73,watch movies,1
73,updated,1
73,samsung,5
73,website,2
73,light,5
73,touchpad,1
73,charm,1
73,windows device,4
73,solid,1
73,software,4
73,compared,2
73,android tablet,6
73,build quality,1
73,laptop mode,1
73,chromebook,9
73,update,2
73,portable laptop,1
73,performance,1
73,display,1
73,tablet experience,1
73,options,1
73,android,17
73,limited,1
73,windows laptop,1
73,browser,3
73,perfect device,1
73,sound,2
73,purchase,1
73,big deal,1
73,outlet,1
75,battery life,1
75,charger,2
75,usability,1
75,price,1
75,chargers,1
75,steal,1
75,received,1
75,software,1
75,surface pro 4,1
76,install,1
76,repair,2
76,computer back,3
76,applications,2
76,company,1
76,dell computer,1
76,video,1
77,contacted dell,1
77,registered,1
78,setting,1
78,form factor,1
78,large,1
78,comfortable,1
78,anticipated,1
78,shipped,1
78,complaint,1
78,lenovo product,1
78,hours,2
78,performance,1
78,excellent,1
78,experience,1
78,function keys,1
78,battery life,2
78,desktop,1
78,replace,2
78,answer,1
78,surfing,1
78,speak,1
79,touch screen,1
79,extremely responsive,1
80,hdmi output,1
80,complaint,1
80,powerful,1
80,windows 8,1
80,robust,1
81,upgrade,1
81,advertised,1
83,returning,2
83,fixed,1
83,connect,2
83,play games,1
83,uninstalling,1
83,reliability,1
83,android phone,1
83,light weight,1
83,drivers,1
83,wireless,4
83,macbook,2
83,support,2
83,restart,1
83,problem,3
83,program,1
83,connection,1
83,worth,1
83,microsoft,6
83,surface,4
83,surface book,1
83,rebooting,2
83,watch movies,1
83,sleep mode,1
83,delivered,1
83,macbook pro,1
84,returning,2
84,fixed,1
84,connect,2
84,play games,1
84,uninstalling,1
84,reliability,1
84,android phone,1
84,light weight,1
84,drivers,1
84,wireless,4
84,macbook,2
84,support,2
84,restart,1
84,problem,3
84,program,1
84,connection,1
84,worth,1
84,microsoft,6
84,surface,4
84,surface book,1
84,rebooting,2
84,watch movies,1
84,sleep mode,1
84,delivered,1
84,macbook pro,1
86,advertised,1
86,supposed,1
87,trackpad,1
87,durability,1
89,super light,1
89,compact,1
90,return,1
90,sites,1
90,chromebook,1
90,longer works,1
91,setting,1
91,desktop pc,1
91,price,1
91,worked properly,1
91,small,1
91,common problem,1
91,common issue,1
91,good performance,1
91,power,1
91,software,2
91,motherboard,1
91,problem,3
91,hours,1
91,skype,2
91,speaker,3
91,purchase,2
91,phone,1
91,battery,2
91,cheap,1
91,lightweight,1
91,hitting,1
91,connection,4
92,chromebook,1
93,price,1
94,bright,4
94,hinge,1
94,updates,1
94,heavy,1
94,mouse,1
94,durability,1
94,screen brightness,1
94,scratches,2
94,holding,1
94,glare,1
94,design,3
94,performance,2
94,watching videos,1
94,errors,1
94,purchase,1
94,weight,1
94,touchpad,1
94,occasional,1
94,company,1
94,functionality,1
94,sharp,1
95,option,1
95,installed,1
